"address","rank","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","postalCode","street","reviewsCount","title","location/lat","location/lng","categoryName","price","totalScore"
"10 A, Lahore, 54000, Pakistan","1",,,,,,"54000","10 A","333","Baked","31.4684272","74.4397007","Bakery",,"4.4"
"Main Boulevard, Shabbir Sharif Rd, DHA Phase 6, Lahore, 54000, Pakistan","2",,,,,,"54000","Main Boulevard, Shabbir Sharif Rd","453","Cakes & Bakes","31.476147","74.4467766","Bakery",,"4.2"
"Street 14, Sector F DHA Phase 6, Lahore, Punjab, Pakistan","3",,,,,,,"Street 14","43","Her Pretty Bakes","31.4626244","74.4645971","Cake shop",,"5"
"139, Sector J DHA Phase 6, Lahore, Punjab 54792, Pakistan","4",,,,,,"54792","139","832","Layers Bakeshop - Phase 6 DHA","31.4819792","74.4545175","Bakery",,"4.5"
"25 Street 11, Sector H DHA Phase 6, Lahore, Punjab, Pakistan","5",,,,,,,"25 Street 11","1314","Jalal Sons - DHA Phase 6","31.4780552","74.4492379","Bakery","$$","4.3"
"Sector mb, 6 plaza number 114, Phase DHA Phase 6, Lahore, 54792, Pakistan","6",,,,,,"54792","Sector mb, 6 plaza number 114","168","Pie in the sky DHA ph-6 Lahore","31.4799535","74.4515394","Bakery","$$","4.5"
"C, 12 CCA, DHA Phase 5 Defence Housing Authority, Lahore, 54792, Pakistan","7",,,,,,"54792","C, 12 CCA","123","The Cakery","31.4627867","74.4138994","Bakery",,"4.5"
"FCV8+8V7, Ghazi Rd, Gulshan e Ali Colony, Lahore, Punjab, Pakistan","8",,,,,,,"FCV8+8V7, Ghazi Rd","807","Gourmet Foods","31.4932889","74.4171723","Bakery",,"4"
"26 N, 1 Dha, phase Dha Phase 1, Lahore, 54792, Pakistan","9",,,,,,"54792","26 N, 1 Dha","229","Yum Prum","31.4880184","74.3962809","Bakery",,"4.8"
"36 Main Blvd, Sector B DHA Phase 6, Lahore, Punjab, Pakistan","10",,,,,,,"36 Main Blvd","244","Chashni","31.4740365","74.4438386","Dessert shop","$$$","4.2"
"2nd floor, Plaza 64, DHA Phase 8 - Ex Air Avenue Block Q Air Avenue, Lahore, Punjab 54000, Pakistan","11",,,,,,"54000","2nd floor, Plaza 64","154","Opulence Bakery","31.5025376","74.4446162","Bakery",,"4.5"
"House #E-492/A, Bedian Rd, Alfalah Town Phase 1 Cantt, Lahore, Punjab 54810, Pakistan","12",,,,,,"54810","House #E-492/A, Bedian Rd","24","Delicieux_sana","31.4822329","74.4182392","Cake shop",,"5"
"FCX9+HMC, Main Airport Rd, next to Eden Ext, Eden Avenue, Lahore, Punjab, Pakistan","13",,,,,,,"FCX9+HMC, Main Airport Rd, next to Eden Ext","581","Kitchen Cuisine","31.4985938","74.4210701","Bakery",,"4.4"
"Building 103, Raya Fairways، M، Phase 6 DHA, Lahore, 54810, Pakistan","14",,,,,,"54810","Building 103, Raya Fairways، M","268","Pink Pistachio Patisserie & Cafe","31.474134","74.4702505","Art cafe",,"4"
