"categoryName","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","totalScore","location/lat","location/lng","postalCode","reviewsCount","title","address","street"
"Coffee shop",,,,,,"4.5","31.5607784","74.3379895","54000","24","COFFEE & U","9-A, Davis Road, Garhi Shahu, Lahore, Punjab 54000, Pakistan","9-A, Davis Road"
"Coffee shop",,,,,,"5","31.5650513","74.33834",,"1","Munir tea shop","H88Q+28, Muhammad Nagar Garhi Shahu, Lahore, Punjab, Pakistan","H88Q+28"
"Coffee shop",,,,,,"4.5","31.5689649","74.3586149",,"2","Mughal Pura Lahore","H995+HCQ, Mughalpura, Lahore, Punjab, Pakistan","H995+HCQ"
"Coffee shop",,,,,,"2","31.5718678","74.3483722",,"1","Sheikh Tea Stall","H8CX+P8X Union Councel Arraiyan, Swami Nagar, Lahore, Punjab, Pakistan","H8CX+P8X Union Councel Arraiyan"
"Coffee shop",,,,,,"4.5","31.5770633","74.3369122",,"6","Coffee Shop","H8GP+RQF Lahore Junction, Swami Nagar, Lahore, Punjab, Pakistan","H8GP+RQF Lahore Junction"
"Coffee shop",,,,,,"4.3","31.5626229","74.3278513","54000","575","Second Cup - Zee Avenue","17A Cooper Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan","17A Cooper Rd"
"Coffee shop",,,,,,"4.6","31.5578754","74.3523386","54000","5","Quetta Herm Piyala Hotel","Allama Iqbal Road Garhi, Shahu, Lahore, 54000, Pakistan","Allama Iqbal Road Garhi"
"Coffee shop",,,,,,"4.5","31.5690723","74.3608759","54840","37","Babban Chaaye Dhaba","H996+J8, Mughalpura, Lahore, Punjab 54840, Pakistan","H996+J8"
"Cafe",,,,,,"4.4","31.5520249","74.3375098",,"11","Cafe Latte","H82Q+R22, G.O.R. - I, Lahore, Punjab, Pakistan","H82Q+R22"
"Coffee shop",,,,,,"4.1","31.5529046","74.3151824","54000","343","Quetta Darbar Cafe","H838+537 Qila Gujar Singh, Temple Rd, Mozang Chungi, Lahore, Punjab 54000, Pakistan","H838+537 Qila Gujar Singh, Temple Rd"
"Coffee shop",,,,,,"4","31.5583235","74.3526485","54000","5","Quetta Haram Pyalla Hotel","103 Allama Iqbal Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan","103 Allama Iqbal Rd"
"Coffee shop",,,,,,"1","31.5643637","74.3450822",,"1","Hafiz tea stall","H87W+P2V, Garhi Shahu, Lahore, Punjab, Pakistan","H87W+P2V"
"Coffee shop",,,,,,"4.3","31.5420054","74.3001642","54000","2302","Chalupa Mexican Cafe","473 Sarhandi Rd, Samanabad Town, Lahore, Punjab 54000, Pakistan","473 Sarhandi Rd"
"Coffee shop",,,,,,"5","31.5505893","74.3395889",,"3","Lahore adbi chaye khana","2 Club Rd, G.O.R. - I, Lahore, Punjab, Pakistan","2 Club Rd"
"Coffee shop",,,,,,"4","31.5384289","74.3371331","54000","237","Gloria Jean's Coffee - Jail Road, Near PIC","89 D Jail Rd, G.O.R. - I, Lahore, Punjab 54000, Pakistan","89 D Jail Rd"
"Coffee shop",,,,,,"3.5","31.5535412","74.3435457",,"2","OD atichison","Administrative Block, Garhi Shahu, Lahore, Punjab, Pakistan","Administrative Block"
"Coffee shop",,,,,,"3.8","31.5788808","74.3475665",,"5","Quetta chai paratha","H8HX+G26, Tezab Ahata Swami Nagar, Lahore, Punjab, Pakistan","H8HX+G26"
"Coffee shop",,,,,,"4.9","31.5300231","74.3163256","54000","41","FruityLand (Fast Food + Drinks)","G8J8+4HC, Ahmed Munir Shaheed Rd, Ichhra Lahore, Punjab 54000, Pakistan","G8J8+4HC, Ahmed Munir Shaheed Rd"
"Coffee shop",,,,,,"4.9","31.5386419","74.3305852","54000","10","MNA Chai Wala","Main Shadman Market Rd, Shadman 1 Shadman, Lahore, Punjab 54000, Pakistan","Main Shadman Market Rd"
"Coffee shop",,,,,,"3.8","31.5662657","74.3266965","54000","16","Kashmiri Chai","H88G+GM9, Moeen Centre, Abbott Rd, Qila Shah Faisal, Mayo Gardens, Montgomery Park Garhi Shahu, Lahore, Punjab 54000, Pakistan","H88G+GM9, Moeen Centre, Abbott Rd, Qila Shah Faisal, Mayo Gardens"
"Coffee shop",,,,,,"3.8","31.5311122","74.3008413","54000","27","Billu Pan & Coffee Shop","G8J2+C8W, Nadeem Shaheed Rd, Samanabad Town, Lahore, Punjab 54000, Pakistan","G8J2+C8W, Nadeem Shaheed Rd"
"Coffee shop",,,,,,"5","31.5419122","74.3289288","54000","5","Cafe","286, Shadman 1 Shadman, Lahore, Punjab 54000, Pakistan","286"
"Cafe","1","1","0","0","0","4.5","31.5638685","74.3440738","54000","2","Cloud Cafe","H87V+GJW Garhi show, Main road, beside crown juice corner, Muhammad Nagar Garhi Shahu, Lahore, Punjab 54000, Pakistan","H87V+GJW Garhi show, Main road, beside crown juice corner"
"Coffee shop","33","9","5","3","0","4.3","31.532548","74.321411","54000","50","NOOR","Noor 91A Lahore – Kasur Rd, Ichhra Lahore, Punjab 54000, Pakistan","Noor 91A Lahore – Kasur Rd"
"Cafe","4","0","0","0","0","5","31.5622304","74.3348983","54000","4","Froots 2 Juices & Cafe","H86M+VXR, Egerton Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan","H86M+VXR, Egerton Rd"
"Cafe","3","0","0","0","0","5","31.5639888","74.3440243","54000","3","Smoke Master","opposite crown juice, Muhammad Nagar Garhi Shahu, Lahore, Punjab 54000, Pakistan","opposite crown juice"
"Bakery","1149","297","68","129","40","4.4","31.5361691","74.305197",,"1683","Bay Bakery","Samanabad Town, Lahore, Punjab 54000, Pakistan",
"Bakery","1177","519","79","234","70","4.3","31.5619704","74.347909","54000","2079","Bread & Beyond","69 Allama Iqbal Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan","69 Allama Iqbal Rd"
"Bakery","20","0","0","0","0","5","31.5320731","74.3163141","54000","20","Chacha Bassa Sweets 1910","Farooq-e-Azam St، near Bhatti Chowk, Ichhra Bazzar, Lahore, Punjab 54000, Pakistan","Farooq-e-Azam St، near Bhatti Chowk"
"Bakery","545","191","76","217","78","3.9","31.5647222","74.3447222",,"1107","Gourmet Foods","Railway Plaza, Allama Iqbal Rd, Garhi Shahu, Lahore, Punjab, Pakistan","Railway Plaza, Allama Iqbal Rd"
"Bakery","209","119","30","102","25","3.9","31.5599792","74.3381332",,"485","Gourmet Foods - Davis Road","14 Davis Road, Garhi Shahu, Lahore, Punjab, Pakistan","14 Davis Road"
"Bakery","194","79","18","30","6","4.3","31.5418441","74.302537","54000","327","Bundu Khan Sweets & Bakers - Samanabad","153 Samanabad Main Boulevard, Samanabad Town, Lahore, Punjab 54000, Pakistan","153 Samanabad Main Boulevard"
"Bakery","274","120","26","82","23","4.1","31.5615363","74.3372459",,"525","Cakes & Bakes (Franchise)","Durand Rd, Garhi Shahu, Lahore, Punjab, Pakistan","Durand Rd"
"Ice cream shop","89","10","3","3","2","4.7","31.536252","74.3052598","54600","107","Curl & Swirl","134-N Ghazali Rd, Samanabad Town, Lahore, Punjab 54600, Pakistan","134-N Ghazali Rd"
"Bakery","318","154","21","73","13","4.3","31.5613772","74.3482187","54000","579","Cakes & Bakes","73 Allama Iqbal Rd, Garhi Shahu, Lahore, Punjab 54000, Pakistan","73 Allama Iqbal Rd"
"Ice cream shop","19","5","2","5","0","4.3","31.562873","74.3359929","54000","31","Waffle Delight","1 Davis Road, Muhammad Nagar Garhi Shahu, Lahore, Punjab 54000, Pakistan","1 Davis Road"
"Ice cream shop","48","13","1","4","1","4.6","31.5314739","74.3213389","54000","67","Turk Ice","G8JC+HGP, Ichhra Lahore, Punjab 54000, Pakistan","G8JC+HGP"
"Bakery","6","0","0","0","0","5","31.5616078","74.3469983","54000","6","Sufi Jee Bakers","H86W+JQX, Garhi Shahu, Lahore, Punjab 54000, Pakistan","H86W+JQX"
