"categoryName","location/lat","location/lng","totalScore","address","postalCode","title","reviewsCount","reviewsDistribution","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","street","price"
"General hospital","31.4348667","74.3557873","4.8","Maulana Shaukat Ali Road، 932-C، Faisal Town, Saroba Garden Housing Scoiety, Lahore, Punjab, Pakistan",,"Clapp Hospital (Site)","4",,"3","1","0","0","0","Maulana Shaukat Ali Road، 932-C، Faisal Town",
"General hospital","31.6037962","74.4091833","5","Haidri St, Mominpur, Lahore, Punjab 54800, Pakistan","54800","Amanat Clinic & Maternity Home","17",,"17","0","0","0","0","Haidri St",
"Government hospital","31.018593","73.8457271","4","2R9W+C7Q, Pattoki, Kasur, Punjab, Pakistan",,"Tehsil Headquarter Hospital Pattoki","4",,"3","0","1","0","0","2R9W+C7Q",
"Medical Center","31.8148354","74.2951244","3.5","Nangal Kaswala, Sheikhupura, Punjab, Pakistan",,"Bhu Nangal Kaswala","4",,"1","1","0","1","1",,
"Hospital","31.8194681","74.2785814","4.5","2-km Old Narowal Rd, Muridke،, Sheikhupura, Punjab, Pakistan",,"EPI Center BHU Nangal Kaswala","2",,"1","1","0","0","0","2-km Old Narowal Rd",
"Hospital","31.7989714","74.2508452","5","Q7X2+H8Q, Canal Park Piran Basti, Muridke, Sheikhupura, Punjab, Pakistan",,"Sughra Hospital","2",,"2","0","0","0","0","Q7X2+H8Q",
"Health consultant","31.7899612","74.2580442","5",,,"City hospital muridkey","1",,"1","0","0","0","0",,
"Hospital","31.8160516","74.3659404",,"R988+C9G, Old Narowal Rd, Muridke, Sheikhupura, Punjab, Pakistan",,"BHU Basic Health Unit Lambray","0",,,,,,,"R988+C9G, Old Narowal Rd",
"Private hospital","31.7905485","74.2558663","4.1","Q7R4+689, Shadab Colony Muridke, Sheikhupura, Punjab, Pakistan",,"Al Noor Hospital النور ہسپتال","7",,"3","3","0","0","1","Q7R4+689",
"Hospital","31.7546592","74.2583538","4.5","Q735+V89, Noori Chowk main bazaar, Ravi Rayon tehsil, Muridke, Sheikhupura, Punjab 39000, Pakistan","39000","Family Hospital","2",,"1","1","0","0","0","Q735+V89, Noori Chowk main bazaar",
"Hospital","31.7873133","74.2576674","4.1","THQ Hospital, Muridke, Sheikhupura, Punjab, Pakistan",,"THQ Hospital","47",,"30","6","5","4","2","THQ Hospital",
"Private hospital","31.8045379","74.253582","3.3","Haider Hospital, Main GT Rd, Mohalla Faiz Madina Muridke, Sheikhupura, Punjab 39000, Pakistan","39000","HAIDER HOSPITAL","21",,"9","2","6","2","2","Haider Hospital, Main GT Rd",
"Hospital","31.7904746","74.255899","4.2","Q7R4+59J, GT Rd, Shadab Colony Sarab, Muridke, Sheikhupura, Punjab, Pakistan",,"Bushra Hospital","26",,"16","3","2","4","1","Q7R4+59J, GT Rd",
"Hospital","31.8095216","74.2535107","5","R753+RC2, Rehmanpura, Muridke, Sheikhupura, Punjab, Pakistan",,"Hospital","1",,"1","0","0","0","0","R753+RC2",
"Hospital","31.7994524","74.2544655","4.7","Canal Park Piran Basti, Muridke, Sheikhupura, Punjab 39000, Pakistan","39000","Ammar Medical Complex Muridke","13",,"10","2","0","1","0",,
"General hospital","31.554296","74.3207161","4","H83C+P78، Shara-I-Fatima Jinnah،, Queen's Road, Jinnah Town, Lahore, Punjab 54000, Pakistan","54000","Sir Ganga Ram Hospital MCH","387",,"206","75","42","49","15","H83C+P78، Shara-I-Fatima Jinnah،, Queen's Road",
"Private hospital","31.5126989","74.2995848","3.1","G77X+3RG, 2-3 مین بولیوارڈ, Asif Block Allama Iqbal Town, Lahore, Punjab 54000, Pakistan","54000","Farooq Hospital","433",,"139","65","149","60","20","G77X+3RG, 2-3 مین بولیوارڈ",
"Hospital","31.0178031","73.8453982","4.3","2R9W+45C, Multan Lahore Rd, Pattoki, Kasur, Punjab, Pakistan",,"Pattoki Civil Hospital","14",,"11","0","2","1","0","2R9W+45C, Multan Lahore Rd",
"Government hospital","31.5409853","74.3323679","3.9","Services hospital, Shadman 1 Shadman, Lahore, Punjab 40050, Pakistan","40050","Services Hospital Lahore","738",,"382","140","89","88","39","Services hospital",
"Hospital","31.4972776","74.262323","4","Multan Chungi Multan Rd, Kakazai, Lahore, Punjab, Pakistan",,"Social Security Hospital","188",,"107","31","23","20","7","Multan Chungi Multan Rd",
"General hospital","31.4949671","74.3928825","3.8","Ayesha hospital nishat colony, Cantt, Lahore, Pakistan",,"Ayesha Hospital","85",,"44","12","15","8","6","Ayesha hospital nishat colony",
"Hospital","31.535664","74.3275734","3.5","Shadman Rd, Ichhra Shadman 1 Shadman, Lahore, Punjab 54000, Pakistan","54000","Fatima Memorial Hospital","704",,"317","111","184","63","29","Shadman Rd",
"General hospital","31.4889263","74.3801584","3.3","D.H.A. Main Blvd، near rasheed hospital, New Super Town, Lahore, Punjab 54000, Pakistan","54000","Aadil Hospital","291",,"110","50","87","33","11","D.H.A. Main Blvd، near rasheed hospital",
"General hospital","31.5121093","74.3282759","3.6","14 New Lahore – Kasur Rd, Abu Bakar Block Garden Town, Lahore, Punjab, Pakistan",,"Hameed Latif Hospital","1371",,"649","231","337","112","42","14 New Lahore – Kasur Rd",
"Hospital","31.0135512","73.8434248","4.2","Multan Lahore Rd, Karim Park Pattoki, Kasur, Punjab 55300, Pakistan","55300","Ibrahim hospital pattoki","5",,"4","0","1","0","0","Multan Lahore Rd",
"General hospital","31.4015072","74.1603451","3.8","Defence Rd, Mohlanwal, Lahore, Punjab, Pakistan",,"Geo Pak International Hospital","77",,"39","11","12","10","5","Defence Rd",
"General hospital","31.5365896","74.3388582","3.2","15 Jail Rd، opposite Kinnard College, Shadman II Shadman 2 Shadman, Lahore, Punjab, Pakistan",,"Orthopaedic Hospital & Medical Complex (OMC), Lahore","102",,"42","14","36","4","6","15 Jail Rd، opposite Kinnard College",
"General hospital","31.5081718","74.3085857","3.8","G855+7C8 Shaikh Zayed Medical Complex، University Avenue, Block D Muslim Town, Lahore, Punjab, Pakistan",,"Shaikh Zayed Hospital","694",,"339","137","112","86","20","G855+7C8 Shaikh Zayed Medical Complex، University Avenue",
"General hospital","31.4846247","74.3973523","3.3","Street 123, Sector L Dha Phase 1, Lahore, Punjab, Pakistan",,"National Hospital & Medical Centre Lahore","828",,"358","99","266","67","38","Street 123",
"Private hospital","31.5349948","74.343145","3.6","G8MV+X55 Ammar Medical Complex:, Jail Rd, Gulberg V, Lahore, Punjab 54000, Pakistan","54000","Ammar Medical Complex, Lahore","166",,"76","32","34","14","10","G8MV+X55 Ammar Medical Complex:, Jail Rd",
"General hospital","31.4055032","74.2301721","3.6","8th Km Raiwind Rd, Gul Nishan Society, Lahore, Punjab, Pakistan",,"Mumtaz Bakhtawar Hospital - II","62",,"26","9","9","14","4","8th Km Raiwind Rd",
"General hospital","31.4525442","74.3194578","5","F839+2Q8, Umer St, Township Block 6 Sector A 2 Lahore, Punjab, Pakistan",,"Zainab Medical Complex","2",,"2","0","0","0","0","F839+2Q8, Umer St",
"Private hospital","31.458784","74.2875911","3.5","403، 402 Bahria University Rd, Block D2 Block D 2 Phase 1 Johar Town, Lahore, Punjab 54770, Pakistan","54770","Horizon Hospital Lahore","203",,"99","25","60","13","6","403، 402 Bahria University Rd",
