"location/lat","location/lng","address","postalCode","title","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","categoryName","hotelStars","street","price","totalScore"
"31.4715199","74.3555422","Main Walton Rd, Shahrah-E-Roomi Nishtar Town, Lahore, Punjab 54750, Pakistan","54750","Packages Mall","66907",,,,,,"Shopping mall",,"Main Walton Rd",,"4.6"
"31.4678861","74.266003","16M Abdul Haque Rd, Trade Centre Commercial Area Phase 2 Johar Town, Lahore, Punjab 54000, Pakistan","54000","Emporium Mall","70343",,,,,,"Shopping mall",,"16M Abdul Haque Rd",,"4.6"
"31.5324346","74.3631963","Shahrah-E-Quaid-E-Azam, Mian Mir Bridge, near Fortress Stadium, Lahore, 54000, Pakistan","54000","Fortress Square Mall","26536",,,,,,"Shopping mall",,"Shahrah-E-Quaid-E-Azam, Mian Mir Bridge, near Fortress Stadium",,"4.5"
"31.4668125","74.3816875","Sector DD Dha Phase 4, Lahore, Punjab 54000, Pakistan","54000","Gold Crest Grand Mall and Residency","3421",,,,,,"Shopping mall",,,,"4.4"
"31.5616656","74.3211627","lhr SHOP, Seiko times Panorama shopping center the mall, NG/42, Lahore, 54000, Pakistan","54000","Panorama Shopping Centre","18584",,,,,,"Shopping mall",,"lhr SHOP, Seiko times Panorama shopping center the mall, NG/42",,"4.2"
"31.3540625","74.2516875","Roundabout, Block M 1 Lake City, Lahore, Punjab, Pakistan",,"Lake City Mall","3226",,,,,,"Shopping mall",,"Roundabout",,"4.4"
"31.5073643","74.3540298","24-B/2 Mian Mehmood Ali Kasoori Rd, Block B2 Block B 2 Gulberg III, Lahore, Punjab 54000, Pakistan","54000","Xinhua Mall","9455",,,,,,"Shopping mall",,"24-B/2 Mian Mehmood Ali Kasoori Rd",,"4.3"
"31.5054425","74.3488798","23 MM Alam Rd, Block C3 Block C 3 Gulberg III, Lahore, Punjab, Pakistan",,"W Mall","106",,,,,,"Shopping mall",,"23 MM Alam Rd",,"4.5"
"31.4669702","74.3159132","Model Town Link Rd, G.E.C.H.S. Phase 2 Muhammadpura, Lahore, Punjab 54600, Pakistan","54600","Amanah Mall","19310",,,,,,"Shopping mall",,"Model Town Link Rd",,"4.3"
"31.5065459","74.3370765","Office 1007 10th floor 8-E/3, main boulevard, Firdous Mkt Rd, opp. Centre Point Plaza, Gulberg III, Lahore, Pakistan",,"Grand Square Mall","161",,,,,,"Corporate office",,"Office 1007 10th floor 8-E/3, main boulevard, Firdous Mkt Rd, opp. Centre Point Plaza",,"4.3"
"31.5292971","74.3787239","172 Tufail Rd, Cantt, Lahore, Punjab 54000, Pakistan","54000","Mall of Lahore","13032",,,,,,"Shopping mall",,"172 Tufail Rd",,"4.3"
"31.4673476","74.2666434","16m Abdul Haque Rd, Trade Centre Commercial Area Phase 2 Johar Town, Lahore, Punjab 54000, Pakistan","54000","Carrefour, Emporium Mall, Lahore","24194",,,,,,"Hypermarket",,"16m Abdul Haque Rd",,"4.4"
"31.5032234","74.3492749","3rd Floor, Square One, MM Alam Rd, Block B3 Block B 3 Gulberg III, Lahore, Punjab, Pakistan",,"Square One","50",,,,,,"Shopping mall",,"3rd Floor, Square One, MM Alam Rd",,"4.3"
"31.3766916","74.187165","2nd floor, Sector C Jasmine Block Sector C Bahria Town, Lahore, Punjab 54000, Pakistan","54000","Jasmine Mall","3508",,,,,,"Shopping mall",,"2nd floor",,"4.2"
"31.5186034","74.3458691","94-D Main Blvd Gulberg, near Liberty Chowk, Block D1 Gulberg III, Lahore, Punjab 54000, Pakistan","54000","Mall 1","5993",,,,,,"Shopping mall",,"94-D Main Blvd Gulberg, near Liberty Chowk",,"4.4"
"31.5122684","74.3506296","G962+W72, MM Alam Rd, Block C2 Block C 2 Gulberg III, Lahore, Punjab 54000, Pakistan","54000","Sorrento Square Mall","51",,,,,,"Shopping mall",,"G962+W72, MM Alam Rd",,"4.2"
"31.5192286","74.3523219","MM Alam Rd, Block T Gulberg 2, Lahore, Punjab, Pakistan",,"Tenth Avenue Mall","512",,,,,,"Shopping mall",,"MM Alam Rd",,"4.5"
"31.5019666","74.2808995","1a, 1B, Karim Block Allama Iqbal Town, Lahore, Punjab 54000, Pakistan","54000","Familien Mall","113",,,,,,"Shopping mall",,"1a, 1B",,"4.4"
"31.4855268","74.3028477","Plot No, 10, Block A Al-Faisal Town, Islamabad, Lahore, Punjab 44000, Pakistan","44000","Las Torres Mall Islamabad","1",,,,,,"Shopping mall",,"Plot No, 10",,"5"
"31.3872106","74.1948809","Eastern Ave W, Safari Block Sector B Bahria Town, Lahore, Punjab, Pakistan",,"Safari Mall","1586",,,,,,"Shopping mall",,"Eastern Ave W",,"4.1"
"31.541045","74.1618283","G5R6+CP8, لاہور، Sharqpur - Shahdara Road، Punjab, Pakistan،, Dhamke, Mirpur, Sheikhupura, Punjab, Pakistan",,"Rizwan cloth house","1","1","0","0","0","0","Shopping mall",,"G5R6+CP8, لاہور، Sharqpur - Shahdara Road، Punjab, Pakistan،",,"5"
"31.5135137","74.1469734","G47W+CQ5, Unnamed Road, Tariddewala, Sheikhupura, Punjab, Pakistan",,"MIAN BILAL KARYANA STORE","7","5","0","0","0","2","Shopping mall",,"G47W+CQ5, Unnamed Road",,"4.1"
"31.541501","74.1609722","G5R6+J95, Dhamke, Dhamkey, Sheikhupura, Punjab, Pakistan",,"Al Haj Babu Khan Electronics","20","12","3","2","2","1","Shopping mall",,"G5R6+J95",,"4.1"
"31.5024971","74.1118524","G426+XPX, Unnamed Road, Shekhupura, Sheikhupura, Punjab, Pakistan",,"Raof Kariana Store","6","0","0","2","3","1","Shopping mall",,"G426+XPX, Unnamed Road",,"2.2"
"31.530255","74.1190328","Unnamed Road, Chak No 23, Sheikhupura, Punjab 39460, Pakistan","39460","Ghulam mustafa kariana store","2","1","0","1","0","0","Shopping mall",,"Unnamed Road",,"3"
"31.5547935","74.1762248","H53G+WF9, Lahore-Jaranwala Rd, Sangra, Sheikhupura, Punjab, Pakistan",,"Bhatti Mobile Master","4","2","0","2","0","0","Shopping mall",,"H53G+WF9, Lahore-Jaranwala Rd",,"3"
"31.3596565","73.8215922","9R5C+VJ8, Chokhian Wala, Nankana Sahib, Punjab, Pakistan",,"Golra Sharif Kiryana Store","8",,,,,,"Shopping mall",,"9R5C+VJ8",,"4.5"
"31.3870185","73.8702053","9VPC+R34, Nankana Sahib, Punjab, Pakistan",,"AlHabeeb karyana stor","1",,,,,,"Shopping mall",,"9VPC+R34",,"5"
"31.387019","73.8702027","Nankana Sahib, Punjab, Pakistan",,"Misri wala nankana sahib","5",,,,,,"Shopping mall",,,,"5"
"31.3514906","73.8362488","9R2P+HFX, Nankana Sahib Rd, اڈہ, Village Mangtanwala, Nankana Sahib, Punjab, Pakistan",,"Faisal Mughal Pap And Sentry Stor","2",,,,,,"Shopping mall",,"9R2P+HFX, Nankana Sahib Rd",,"3"
"31.3505823","73.8363748","9R2P+6GQ, Lahore - Jaranwala Road, M-2 Moterway, adjacent to Al-Jalil Garden, opposite Faizpur Interchange, Kot Noor shah, Pakistan",,"Saddique Center","0",,,,,,"Shopping mall",,"9R2P+6GQ, Lahore - Jaranwala Road, M-2 Moterway, adjacent to Al-Jalil Garden, opposite Faizpur Interchange",,
"31.3773171","73.9059399","Umar Plaza, Tori Allah Yar, Lahore-Jaranwala Rd, Tori Allah, Yar, Pakistan",,"CHAWA Center","2",,,,,,"Shopping mall",,"Umar Plaza, Tori Allah Yar, Lahore-Jaranwala Rd",,"3.5"
"31.3984977","73.8641851","9VX7+9MV chah chanika kharal, Village Mangtanwala, Nankana Sahib, Punjab, Pakistan",,"Dara Rai Asif Kharal","5",,,,,,"Shopping mall",,"9VX7+9MV chah chanika kharal",,"5"
"31.3211574","73.7960065","More Khunda, Nankana Sahib, Punjab, Pakistan",,"Zaheer kamishan shop","123",,,,,,"Shopping mall",,,,"4.1"
"31.321037","73.7835428","8QCM+CC7, Malik sufyan super store jaranwala Road, More Khunda, Nankana Sahib, Punjab, Pakistan",,"Sufyan malik","3",,,,,,"Shopping mall",,"8QCM+CC7, Malik sufyan super store jaranwala Road, More Khunda",,"5"
"31.3068991","73.8988525","8V4X+QG5 Kot Jan Muhammad, Karianwala, Nankana Sahib, Punjab, Pakistan",,"Sandhu kariyana store","1",,,,,,"Shopping mall",,"8V4X+QG5 Kot Jan Muhammad",,"5"
"31.3175234","73.792647","8Q9V+232, head baloki road More Khunda, More Khunda, Nankana Sahib, Punjab, Pakistan",,"Imtiaz Yousaf Genral Store","64",,,,,,"Shopping mall",,"8Q9V+232, head baloki road More Khunda",,"4.1"
"31.3240007","73.7977732","8QFX+J42, Main Muhammadi Bazar, More Khunda, Nankana Sahib, Punjab, Pakistan",,"Nazir Shoes House","1",,,,,,"Shopping mall",,"8QFX+J42, Main Muhammadi Bazar",,"5"
"31.3214483","73.795791","8QCW+H8F, More Khunda, Nankana Sahib, Punjab, Pakistan",,"Utility Store More Khunda","4",,,,,,"Shopping mall",,"8QCW+H8F",,"4"
"31.4377265","74.0361477","C2QP+3FR, Kot Mehmood, Fatowala, Sheikhupura, Punjab, Pakistan",,"Salamat Rafiq Shopping Centre","1",,,,,,"Shopping mall",,"C2QP+3FR",,"5"
"31.4513931","73.7087769","Guru Bazaar, Nankana Sahib, Punjab, Pakistan",,"Ameen Center","40",,,,,,"Shopping mall",,"Guru Bazaar",,"3.9"
"31.3934407","73.775907","9QVG+99F, روڈ, Nankana Sahib, Punjab, Pakistan",,"Rai Liaqat sentary store","6",,,,,,"Shopping mall",,"9QVG+99F, روڈ",,"4"
"31.3953636","73.9651322","9XW8+43R, Madhodas, Nankana Sahib, Punjab, Pakistan",,"Usman General Store","18",,,,,,"Shopping mall",,"9XW8+43R",,"3.5"
"31.3209549","73.7924965","8QCR+9XQ, Service Rd W, More Khunda, Nankana Sahib, Punjab, Pakistan",,"Maqsood Chopra Cloth House","56",,,,,,"Shopping mall",,"8QCR+9XQ, Service Rd W",,"3.9"
"31.3510136","73.8366103","Adda Nankana Sahib Rd, Village Mangtanwala, Nankana Sahib, Punjab, Pakistan",,"Barkat General Store","2","2","0","0","0","0","Shopping mall",,"Adda Nankana Sahib Rd",,"5"
"31.1452403","73.4951061","Opposite Mohalla Adnan Park, main Jaranwala Rd, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Utility Store Corporation Of Pakistan","3","2","1","0","0","0","Shopping mall",,"Opposite Mohalla Adnan Park, main Jaranwala Rd",,"4.7"
"31.1366175","73.4982012","4FPX+J7W, Sayedwala - Bara Ghar- Bucheki Rd, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Bismillah Pan Shop","1","1","0","0","0","0","Shopping mall",,"4FPX+J7W, Sayedwala - Bara Ghar- Bucheki Rd",,"5"
"31.1351598","73.4992639","4FPX+3P6, Syedwala Rd, Syed Wala Purana, Nankana Sahib, Punjab, Pakistan",,"Haji abdul sattar iron store syedwala","2","2","0","0","0","0","Shopping mall",,"4FPX+3P6, Syedwala Rd",,"5"
"31.1417287","73.4979047","4FRX+M4, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Zain karyana store","2","1","0","1","0","0","Shopping mall",,"4FRX+M4",,"3"
"31.1435745","73.4983624","4FVX+96X, Sayedwala, Nankana Sahib, Punjab, Pakistan",,"Hafeez Center syedwala syedwala sweet & backer","1","0","0","0","0","1","Shopping mall",,"4FVX+96X",,"2"
"31.7932275","73.4282901","QCVH+78V Math Village, Gabbi Road, Nankana Sahib, Punjab, Pakistan",,"Zaheer Karina Store","6",,,,,,"Shopping mall",,"QCVH+78V Math Village, Gabbi Road",,"5"
"31.7132319","73.3724871","P97C+7XX, Sangla Hill, Faisalabad, Punjab, Pakistan",,"Al Maryam Mart","32",,,,,,"Shopping mall",,"P97C+7XX",,"4.1"
