"reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","title","location/lat","location/lng","categoryName","price","postalCode","address","reviewsCount","street","totalScore"
,,,,,"Pizzadise","31.3784355","74.1748025","Pizza restaurant",,,"Plaza no 16 Overseas A commercial, Overseas Enclave Sector B Bahria Town, Lahore, Punjab, Pakistan","67","Plaza no 16 Overseas A commercial","4.4"
,,,,,"Pizza 2 Go","31.3758645","74.1706831","Pizza restaurant","$$",,"24, AA-Block Aa Block Sector D Bahria Town, Lahore, Punjab, Pakistan","199","24","3.8"
,,,,,"House of Pizza Bahria","31.3692174","74.187415","Pizza restaurant",,"54500","Shop no 18, Ground Floor Metro Gold heights, near country Club, Bahria Town, Lahore, 54500, Pakistan","122","Shop no 18, Ground Floor Metro Gold heights, near country Club","4.7"
,,,,,"Broadway Pizza - Bahria Town","31.3745325","74.1856789","Pizza restaurant","$$",,"Plaza No. 021, A Block, Commercial, Sector C Bahria Town, Lahore, Pakistan","1310","Plaza No. 021, A Block, Commercial","4.3"
,,,,,"The Pizza Heart","30.9818793","74.267838","Pizza restaurant",,,"X7J9+Q44, Khudian Khas, Kasur, Punjab, Pakistan","55","X7J9+Q44","3.6"
,,,,,"J Jamera جے جمیرا","31.3670447","74.1860389","Pizza restaurant",,,"958P+RC7, adjacent to Bahria Grand Mosque, Commercial Janiper Block Sector E Bahria Town, Lahore, Punjab 53720, Pakistan","1343","958P+RC7, adjacent to Bahria Grand Mosque","4.8"
,,,,,"Ahsaan Pizza Hut","30.990714","74.2708002","Pizza restaurant",,,"X7RC+78M ch Ismaeil chowak, exchange road, Khudian Khas, Kasur, Punjab, Pakistan","9","X7RC+78M ch Ismaeil chowak, exchange road","4.2"
,,,,,"OnO Pizza (Olive & Onion Pizza)","31.3768885","74.1848791","Pizza restaurant",,"53720","159-A commercial, Commercial Zone Sector C Commercial Area Sector C Bahria Town, Lahore, Punjab 53720, Pakistan","128","159-A commercial","4.5"
,,,,,"Up to down Lahore","30.990714","74.2708003","Pizza restaurant",,,"X7RC+78M, Khudian Khas, Kasur, Punjab, Pakistan","0","X7RC+78M",
,,,,,"Pizza Max - Bahria Town","31.377841","74.1865597","Pizza restaurant","$$",,"beside Gloria Jeans, Sector C Gulbahar Block Sector C Bahria Town, Lahore, Punjab, Pakistan","1000","beside Gloria Jeans","3.9"
