"address","location/lat","location/lng","categoryName","street","title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","postalCode"
"8M5G+9M6, Bucheke, Pakistan","31.3084222","73.6766511","Real estate consultant","8M5G+9M6","Hazar Real Estate","5","1",,,,,,
"Ghalla Mandi, Lahore-Jaranwala Rd, More Khunda, 39120, Pakistan","31.3209716","73.7936284","Real estate agency","Ghalla Mandi, Lahore-Jaranwala Rd","Faizan-e-Madina Bismillah Property Dealer","5","1",,,,,,"39120"
"4WRC+H3R, Jamber, Pakistan","31.1414832","73.9201463","Real estate agency","4WRC+H3R","KALMA REAL ESTATE","5","2",,,,,,
"Shora Kothi Rd, beside church, Mohalla Rehmanian, Nankana Sahib, 39100, Pakistan","31.447711","73.7083755","Real estate consultant","Shora Kothi Rd, beside church","HM Sardar Estate Linkers & Builders","4.7","19",,,,,,"39100"
"CPX5+29Q, Shora Kothi Rd, near Church, Mohalla Rehmanian, Nankana Sahib, Pakistan","31.4475869","73.7084762","Real estate agency","CPX5+29Q, Shora Kothi Rd, near Church","H B Real Estate","5","3",,,,,,
"7QHG+38J, Kot Indar Singh, Pakistan","31.2788578","73.7756951","Real estate agency","7QHG+38J","Shahzad Ali Rajpoot",,"0",,,,,,
"G4FW+86R, Jaranwala-Sharaqpur Rd Tariddewala, Taridde Wala, Sharaqpur, 39460, Pakistan","31.5233631","74.1455037","Real estate agency","G4FW+86R, Jaranwala-Sharaqpur Rd Tariddewala","Sher-e-Rabani Estate Agency","2.5","4",,,,,,"39460"
"5XW4+J9F, Multan Rd, Phool Nagar, Pakistan","31.1965638","73.9559107","Real estate agency","5XW4+J9F, Multan Rd","trust real Estate","3.4","5",,,,,,
"CPX6+5WM, Housing Colony, Nankana Sahib, Pakistan","31.4480417","73.71234","Real estate agency","CPX6+5WM","پٹوار خانہ",,"0",,,,,,
"4WRC+C4R, Lahore - Multan Road،, Jamber, Pakistan","31.1411066","73.9202505","Real estate consultant","4WRC+C4R, Lahore - Multan Road،","Punjab Estate Point",,"0",,,,,,
"Q48F+P3F, Main Town, Kanganpur, Pakistan","30.7668172","74.1226657","Real estate agency","Q48F+P3F","Haji Hanif & Sons Ltd",,"0",,,,,,
