"title","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","street","price","categoryName","location/lat","location/lng","totalScore","postalCode","address"
"Ali Hair Fashion","0",,,,,,"4FVW+3VG Shell Pump, Near street",,"Hair salon","31.1426876","73.4972173",,,"4FVW+3VG Shell Pump, Near street, Sayedwala, Nankana Sahib, Punjab, Pakistan"
"OutLook Salon","0",,,,,,"2RGX+QW4, Multan Rd",,"Hair salon","31.026801","73.850009",,,"2RGX+QW4, Multan Rd, Bhadian Pattoki, Kasur, Punjab, Pakistan"
"Raja major hir salon","0",,,,,,"4GV2+92P, Main Bazar Rd",,"Hair salon","31.1434533","73.50007",,,"4GV2+92P, Main Bazar Rd, Sayedwala, Nankana Sahib, Punjab, Pakistan"
"D'Lux Beauty Salon","39",,,,,,"1st Floor, 234/A",,"Beauty salon","31.3277317","74.3788246","4.7","54800","1st Floor, 234/A, Central Park Housing Scheme, Lahore, 54800, Pakistan"
"Look Smart Beauty Parlour saloon","15",,,,,,,,"Beauty salon","31.3170625","74.3891875","4.2",,"Block B Central Park Housing Scheme, Lahore, Punjab, Pakistan"
"Ayesha's Beauty Salon (Sangla Hill Branch)","60",,,,,,"Chahoor Muslim Road, Sadar Thana Muhammad Park, near Ever Green School",,"Beauty salon","31.7156057","73.3666809","4.9","39600","Chahoor Muslim Road, Sadar Thana Muhammad Park, near Ever Green School, Sangla Hill, Faisalabad, Punjab 39600, Pakistan"
"Jani hair beauty Salon","11",,,,,,"899Q+7C8",,"Beauty salon","31.3181562","74.3885843","4.5",,"899Q+7C8, Block A Central Park Housing Scheme, Lahore, Punjab, Pakistan"
"Scissor & Razor Saloon","1",,,,,,"P99F+54F Opposit THQ Hospital",,"Hair salon","31.7179421","73.3728064","5",,"P99F+54F Opposit THQ Hospital, Ahmedabad, Sangla Hill, Nankana Sahib, Punjab, Pakistan"
"Dubai Salon","8",,,,,,"898P+Q9F Dubai Salon",,"Hair salon","31.3184248","74.3893746","4",,"898P+Q9F Dubai Salon, Block A Central Park Housing Scheme, Lahore, Punjab, Pakistan"
"The luxue beauty salon basement Anwar plaza central park lahore","3",,,,,,"Central park, 109 A block",,"Beauty salon","31.3179019","74.3880509","5",,"Central park, 109 A block, Block A Central Park Housing Scheme, Lahore, Punjab, Pakistan"
"Ghaffar Cheema Salon","1",,,,,,"P9CJ+M9G",,"Beauty salon","31.7216783","73.3809565","5",,"P9CJ+M9G, Sangla Hill, Nankana Sahib, Punjab, Pakistan"
"Sumaira n Shan Aesthetics - Makeup Studio - Spa","6",,,,,,"Besides Central Park Teaching Hospital, 231-A Lahore – Kasur Rd",,"Beauty salon","31.3276461","74.3792197","5","53100","Besides Central Park Teaching Hospital, 231-A Lahore – Kasur Rd, Central Park Housing Scheme, Lahore, Punjab 53100, Pakistan"
"New Sajid Hair Salon","1",,,,,,"streetr#04",,"Hair removal service","31.7178135","73.3699791","5","39600","streetr#04, Muhala Ahmedabad, Sangla Hill, Faisalabad, Punjab 39600, Pakistan"
"Lavish locks beauty salon","2",,,,,,"166 Zenia Road",,"Beauty salon","31.3213363","74.4044068","5",,"166 Zenia Road, Zinia block street#6 Bahria Nasheman, Lahore, Punjab, Pakistan"
"ahmed beauty salon","2",,,,,,"جامح مسجد",,"Beauty salon","31.7151503","73.3774417","5",,"جامح مسجد, Sangla Hill, Nankana Sahib, Punjab, Pakistan"
"Numaira's beauty salon","4",,,,,,"St#7, Sector A, next to D mart",,"Beauty salon","31.3174852","74.3867024","3.8",,"St#7, Sector A, next to D mart, Lahore, Pakistan"
"Lala Sohail beauty salon","3",,,,,,"P9CJ+FJ5, Road",,"Beauty salon","31.7211355","73.3816048","5",,"P9CJ+FJ5, Road, Marh Balochan, Nankana Sahib, Punjab, Pakistan"
"Roohi The Colorist Salon","0",,,,,,"House# 8 block D Alharam garden",,"Beauty salon","31.3222148","74.3649845",,,"House# 8 block D Alharam garden, housing society, Lahore, Pakistan"
"Beeni B beauty salon","0",,,,,,"Plaza no, 15",,"Beauty salon","31.3145766","74.3875845",,"54600","Plaza no, 15, G block Central Park Housing Scheme, Lahore, Punjab 54600, Pakistan"
"Angel Salon","13",,,,,,"99G7+F24",,"Beauty salon","31.3762021","74.3626129","5",,"99G7+F24, Kahna Nau, Kahna, Lahore, Punjab, Pakistan"
"Beauty salon","0",,,,,,"89CP+32V",,"Beauty salon","31.3202357","74.3850535",,,"89CP+32V, Block A Central Park Housing Scheme, Lahore, Punjab, Pakistan"
"Classic salon & training Acdmy","1",,,,,,"89CP+32V",,"Beauty salon","31.3202357","74.3850535","2",,"89CP+32V, Block A Central Park Housing Scheme, Lahore, Punjab, Pakistan"
"Farman modern salon","0",,,,,,"milad Chowk, Shahzada Rd",,"Hair salon","31.3541982","74.3896039",,,"milad Chowk, Shahzada Rd, Kahna, Lahore, Punjab, Pakistan"
"Rizwan hair dresser","1","1","0","0","0","0","Police station, road",,"Beauty salon","31.7846122","73.4385099","5","39570","Police station, road, Marh Balochan, Nankana Sahib, Punjab 39570, Pakistan"
"Zunair Hair Saloon","0",,,,,,"QCMP+7VW",,"Hair removal service","31.7832282","73.4372002",,,"QCMP+7VW, Marh Balochan, Nankana Sahib, Punjab, Pakistan"
"Beauty Art Parlour(Women)","14","4","2","5","3","0","898Q+JX8",,"Beauty salon","31.3165476","74.3899379","3",,"898Q+JX8, Block B Central Park Housing Scheme, Lahore, Punjab, Pakistan"
"SH ️ ZZ SALON","8","5","0","1","1","1","35",,"Barber shop","31.3171279","74.3876579","3.9",,"35, Block A Central Park Housing Scheme, Lahore, Punjab, Pakistan"
"Nexus hair saloon","0",,,,,,"8C93+J9H",,"Hair salon","31.3190553","74.4034735",,,"8C93+J9H, Sun Flower Sunflower Block Bahria Nasheman, Lahore, Punjab, Pakistan"
"Tabeer Beauty Parlour","1","1","0","0","0","0","House No. 12D, Al-Haram, Garden",,"Beauty salon","31.3212869","74.3638682","5","53100","House No. 12D, Al-Haram, Garden, Housing Scheme, Lahore, Punjab 53100, Pakistan"
"Nasir Hairdresser","0",,,,,,"8995+M4W",,"Hairdresser","31.319235","74.3578261",,,"8995+M4W, Asal Suleman, Lahore, Punjab, Pakistan"
"Nexus Edge Hair Salon","1","1","0","0","0","0","898R+W42",,"Barber shop","31.3172634","74.3902683","5",,"898R+W42, Block B Central Park Housing Scheme, Lahore, Punjab, Pakistan"
"UROOJ MAVEN AND BLOOM","0",,,,,,"507",,"Beauty salon","31.3201244","74.3762745",,,"507, F block Central Park Housing Scheme, society, Lahore, Punjab, Pakistan"
"IF Hair Salon","70",,,,,,"XX8J+9PQ",,"Hair salon","30.9659624","73.9818532","4.4",,"XX8J+9PQ, Chunian, Kasur, Punjab, Pakistan"
"Gloria Studio and Boutique","4",,,,,,"XXCG+3X7, Nadra Rd",,"Beauty salon","30.9701557","73.9774128","5",,"XXCG+3X7, Nadra Rd, Chunian, Kasur, Punjab, Pakistan"
"Nikhar beauty salon","1",,,,,,"Old post office bazaar",,"Beauty salon","30.9640727","73.9781195","5",,"Old post office bazaar, Chunian, Kasur, Punjab, Pakistan"
"NewShine Beauty Parlor","9",,,,,,"Iqbal Manzil, Hujra Road",,"Beauty salon","30.9625067","73.9758091","4.3","55220","Iqbal Manzil, Hujra Road, Chunian, Kasur, Punjab 55220, Pakistan"
"Kashaf Malik Salon & Studio","16",,,,,,"Malik plaza, near noor hospital",,"Beauty salon","31.1711029","74.102876","4.8",,"Malik plaza, near noor hospital, Kot Radha Kishan, Kasur, Punjab, Pakistan"
"Barbara shop Shafqat ali","0",,,,,,"XX9C+WFH",,"Beauty salon","30.9698035","73.9712488",,,"XX9C+WFH, Chunian, Kasur, Punjab, Pakistan"
"Seven Star Hair Salon","2",,,,,,"2VG2+3WX",,"Hair salon","31.0252371","73.8523688","5",,"2VG2+3WX, Bhadian Pattoki, Kasur, Punjab, Pakistan"
"Qadri Salon","18",,,,,,"2VF2+J5G, Church Rd",,"Hair salon","31.0240632","73.8504668","4.5",,"2VF2+J5G, Church Rd, Bhadian, Pattoki, Kasur, Punjab, Pakistan"
"Alli's Beauty Institute","0",,,,,,"Opposite PSO pump, Zaheerabad colony,Changa Manga, Road",,"Beauty salon","30.9736895","73.9738918",,"55220","Opposite PSO pump, Zaheerabad colony,Changa Manga, Road, Chunian, 55220, Pakistan"
"Blooms Inn beauty Salon","13",,,,,,"Uzair Mayo Rd",,"Beauty salon","31.0272958","73.8553358","4.8","55300","Uzair Mayo Rd, Pattoki, Kasur, Punjab 55300, Pakistan"
"Neon Men Salon","2",,,,,,"2VG3+G79",,"Beauty salon","31.0263161","73.8531973","5",,"2VG3+G79, Pattoki, Kasur, Punjab, Pakistan"
"Jani Hair Salon","2",,,,,,"2V77+W6X",,"Hair salon","31.0148738","73.8630977","5",,"2V77+W6X, Old Mandi Pattoki, Kasur, Punjab, Pakistan"
"Cosmo Hair Salon Pattoki","16",,,,,,"2RGX+CF7, Multan Lahore Rd",,"Hair salon","31.0261413","73.8485007","4.2",,"2RGX+CF7, Multan Lahore Rd, Asif Colony, Pattoki, Kasur, Punjab, Pakistan"
"ASAD HAIR SALON","4",,,,,,"WRJ2+JQ2",,"Beauty salon","30.9314915","73.801889","5",,"WRJ2+JQ2, Bholagarhi, Kasur, Punjab, Pakistan"
"Nadeem Hair Salon","1",,,,,,"2RJV+C46",,"Hair salon","31.0310257","73.8427575","5",,"2RJV+C46, Pattoki, Kasur, Punjab, Pakistan"
"Sajid's-Salon","3",,,,,,"Main bazar khaki shah",,"Beauty salon","31.32589","73.8013184","5",,"Main bazar khaki shah, More Khunda, Nankana Sahib, Punjab, Pakistan"
"Naseer Abbas Hair Salon","3",,,,,,"2VP6+97W, Allama Iqbal Rd",,"Hair salon","31.03587","73.8607867","5",,"2VP6+97W, Allama Iqbal Rd, Naroki Mahja, Pattoki, Kasur, Punjab, Pakistan"
"Khawaja Hairdresser","3",,,,,,"8QCV+62F, Lahore-Jaranwala Rd",,"Hair salon","31.3205567","73.7925522","4.7","39120","8QCV+62F, Lahore-Jaranwala Rd, More Khunda, Nankana Sahib, Punjab 39120, Pakistan"
"Blue Hair cutting Salon","6",,,,,,"2R7X+QVR, mandiyan wala road",,"Hair salon","31.0144965","73.8496542","4.7",,"2R7X+QVR, mandiyan wala road, Old Mandi Pattoki, Kasur, Punjab, Pakistan"
"Tayyaba Beauty Parlour","3",,,,,,"8QFW+MC8 Tayyaba Beauty Parlour",,"Beauty salon","31.3241648","73.7960742","5",,"8QFW+MC8 Tayyaba Beauty Parlour, More Khunda, Nankana Sahib, Punjab, Pakistan"
"Farman Ali . Hair Salon","0",,,,,,"8Q9V+4RF",,"Hair salon","31.3178088","73.7945588",,,"8Q9V+4RF, More Khunda, Nankana Sahib, Punjab, Pakistan"
"Niaz beauty saloon","0",,,,,,"Mohallah Masjid Quddas Ahle Hadees",,"Beauty salon","31.3240007","73.7977732",,"39120","Mohallah Masjid Quddas Ahle Hadees, More Khunda, Nankana Sahib, Punjab 39120, Pakistan"
"Aqib Beauty Parlour","0",,,,,,"8QCW+W9G, Service Rd W, opposite National Bank, near Mian Mansha hospital",,"Beauty salon","31.3223107","73.7959607",,,"8QCW+W9G, Service Rd W, opposite National Bank, near Mian Mansha hospital, More Khunda, Nankana Sahib, Punjab, Pakistan"
"Sajid's Men Salon & Spa","2",,,,,,"8RM5+WR7, Main bazar Khaki Shah",,"Barber shop","31.3347986","73.8095396","5",,"8RM5+WR7, Main bazar Khaki Shah, More Khunda, Nankana Sahib, Punjab, Pakistan"
"Naveed Hair Salon","8",,,,,,"FP32+W9R، Bhatta Abadi",,"Hair salon","31.4548605","73.7008971","4.5","39100","FP32+W9R، Bhatta Abadi, Nankana Sahib, Nankana Sahib District, Punjab 39100, Pakistan"
"Irfan Hair Dresser","3","2","0","1","0","0","XX8J+FMX, Allahabad - Chunian Rd",,"Hairdresser","30.966231","73.981726","3.7","55220","XX8J+FMX, Allahabad - Chunian Rd, Chunian, Kasur, Punjab 55220, Pakistan"
"Azeem dost beauty salon","0",,,,,,"Mahila",,"Beauty salon","30.9567761","73.9779231",,,"Mahila, rasool Nagar Chunian, Kasur, Punjab, Pakistan"
"BM Hair Salon","0",,,,,,"Manzoor Chow",,"Photography studio","30.9698678","73.9712177",,"55220","Manzoor Chow, Chunian, Kasur, Punjab 55220, Pakistan"
"Ayat Beauty parlour & Training centre","0",,,,,,"Arif Market, main bazar",,"Beauty salon","30.9633019","73.9775578",,"55220","Arif Market, main bazar, Chunian, Kasur, Punjab 55220, Pakistan"
