"reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","categoryName","location/lat","location/lng","totalScore","street","price","address","postalCode","title","reviewsCount"
,,,,,"Middle school","30.9520127","73.8014529","5","XR22+RH4",,"XR22+RH4, Kharepar (chak 10), Kasur, Punjab, Pakistan",,"Govt Girls Elementary School","1"
,,,,,"School","30.9305454","73.8281106","4.8","WRJH+669, Unnamed Road",,"WRJH+669, Unnamed Road, Hussain Khanwala, Kasur, Punjab, Pakistan",,"Ayesha Public High School","10"
,,,,,"Primary school","30.9333268","73.8018857","5","WRM2+8QJ",,"WRM2+8QJ, Bholagarhi, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","1"
,,,,,"Primary school","30.9295837","73.7998484","5","WQHX+RWQ",,"WQHX+RWQ, Bholagarhi, Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","1"
,,,,,"Middle school","30.969791","73.8343292","3","XR9M+WP8",,"XR9M+WP8, Dholan, Kasur, Punjab, Pakistan",,"Govt Elementary School (Boys)","2"
,,,,,"Primary school","30.9686164","73.8131679","4.7","XR97+C7V, Unnamed Road",,"XR97+C7V, Unnamed Road, Daokey, Kasur, Punjab, Pakistan",,"Govt Girls Primary School","3"
,,,,,"School","31.7326002","73.6972565","5","PMMW+2WR",,"PMMW+2WR, Bhalike, Sheikhupura, Punjab, Pakistan",,"Govt. Primary School Bahalike","2"
,,,,,"Middle school","30.9549465","73.8283306","2.7","XR3H+X8G",,"XR3H+X8G, Gauhar (Chak 8), Kasur, Punjab, Pakistan",,"Govt Girls Elementary School","3"
,,,,,"Primary school","31.7010738","73.7097974","5","PP25+CWF",,"PP25+CWF, Jaatri Jhanda, Nankana Sahib, Punjab, Pakistan",,"Govt Girls Primary School Jaatri Jhanda","1"
,,,,,"High school","30.9283059","73.7984946","5","WQHX+89H",,"WQHX+89H, Bholagarhi, Kasur, Punjab, Pakistan",,"Alnoor Public High School","2"
,,,,,"Primary school","30.9533424","73.8261155","5","XR3G+8CQ",,"XR3G+8CQ, Gauhar (Chak 8), Kasur, Punjab, Pakistan",,"Govt Primary School (Boys)","1"
,,,,,"High school","31.6864758","73.7325768","5","MPPM+H2W",,"MPPM+H2W, Jatri Kohna, Sheikhupura, Punjab, Pakistan",,"Government High School for Boys","3"
,,,,,"School","30.9341389","73.825025","5","WRMG+M22 Hussain khan wala",,"WRMG+M22 Hussain khan wala, Hussain Khanwala, Kasur, Punjab, Pakistan",,"Asad Model High School","2"
,,,,,"School","31.7082463","73.6811462","5","PM5J+7FR, Sangla Hill Road",,"PM5J+7FR, Sangla Hill Road, Chowk Phularwan, Sheikhupura, Punjab, Pakistan",,"Sher-e-Rabbani School","3"
,,,,,"School","30.953429","73.8276435","5","XR3H+93C",,"XR3H+93C, Gohar Chak 8, Kasur, Punjab, Pakistan",,"Allama model High School","2"
,,,,,"School","31.6877513","73.7366797","4.7","MPQP+4M3",,"MPQP+4M3, Jaatri Kuhna, Nankana Sahib, Punjab, Pakistan",,"The Punjab School And College Jatri Kohna","6"
,,,,,"School","31.699769","73.7273705","5","MPXG+WW5",,"MPXG+WW5, Pakka Dera, Nankana Sahib, Punjab, Pakistan",,"Government Primary School Pakka Dera","2"
,,,,,"Primary school","31.6745346","73.7385368","4.8","MPFQ+RC7, Road",,"MPFQ+RC7, Road, Farooqabad, Sheikhupura, Punjab 39350, Pakistan","39350","Govt Primary School","5"
,,,,,"School","31.712","73.7563204","3","PQ64+RG4",,"PQ64+RG4, Malianda Dera, Sheikhupura, Punjab, Pakistan",,"Govt. Middle school dera hajiyn","2"
,,,,,"School","31.716236","73.7500264","4.7","PQ82+F2R",,"PQ82+F2R, Safdarabad, Nankana Sahib, Punjab, Pakistan",,"Govt. Primary school dera amratsariyan","3"
,,,,,"High school","31.7324536","73.6952461","3.2","PMJW+X3Q",,"PMJW+X3Q, Bhalike, Nankana Sahib, Punjab, Pakistan",,"Isha High School عشاء ہائی سکول","6"
,,,,,"School","31.6738667","73.7378577","5","MPFQ+G4X, Unnamed Road",,"MPFQ+G4X, Unnamed Road, Nankana Sahib, Punjab, Pakistan",,"Hafeeza Educator School Etihad Nagar","1"
,,,,,"School","31.7240469","73.7351596",,"PPFP+J37",,"PPFP+J37, Keerianwali, Nankana Sahib, Punjab, Pakistan",,"Government Girls Elementary School","0"
,,,,,"School","31.7079656","73.7628235",,,,"Malianda Dera, Sheikhupura, Punjab, Pakistan",,"school","0"
,,,,,"Elementary school","31.6984916","73.7095764",,"MPX5+9RW",,"MPX5+9RW, Jaatri Jhanda, Nankana Sahib, Punjab, Pakistan",,"Govt Boys Primary School Jaatri Jhanda","0"
,,,,,"Elementary school","31.7383668","73.6648395","5","PMQ7+8WW",,"PMQ7+8WW, Garwan Wala, Sheikhupura, Punjab, Pakistan",,"Govt Boys School","1"
,,,,,"High school","31.6866303","73.7345506",,"MPPM+MR3",,"MPPM+MR3, Jatri Kuhna, Nankana Sahib, Punjab, Pakistan",,"Hira Public Model School","0"
,,,,,"School","31.6871526","73.7382408",,"MPPQ+M99",,"MPPQ+M99, Jaatri Kuhna, Sheikhupura, Punjab, Pakistan",,"Zaryab Grammar High School and Academy","0"
,,,,,"Primary school","31.6664915","73.6748859","5","MM8F+HXR، Unnamed Rd",,"MM8F+HXR، Unnamed Rd, Kot Hayat Khan, Nankana Sahib, Punjab, Pakistan",,"Governament Praimry School Kot Hayat Khan","1"
,,,,,"School","31.7101254","73.6854021",,"PM6P+352, Farooqabad, Road",,"PM6P+352, Farooqabad, Road, Chowk Phularwan, Pakistan",,"The Raheem Public School","0"
"2","1","0","0","0","High school","30.9728658","73.8127895","4.7","XRF7+44V",,"XRF7+44V, Daokey, Kasur, Punjab, Pakistan",,"The Bright Future Public High School Daokey","3"
,,,,,"Primary school","31.6959891","73.7456357",,"MPWW+97R",,"MPWW+97R, Qila Shabdev, Jatri Kuhna, Nankana Sahib, Punjab, Pakistan",,"Govt Girls Primary School dera master ismail wala","0"
"3","0","0","0","0","School","31.7201865","73.6799649","5","PMCH+3XG",,"PMCH+3XG, Phularwan Village, Sheikhupura, Punjab, Pakistan",,"GES Phullarwan","3"
,,,,,"School","31.6838597","73.7728871",,"MQMF+G5R Jheenda Nu",,"MQMF+G5R Jheenda Nu, Shekhupura, Sheikhupura, Punjab, Pakistan",,"Govt Primary School Jheenda Nu","0"
"1","0","0","1","0","School","30.9713558","73.813237","4","XRC7+G7X",,"XRC7+G7X, Daokey, Kasur, Punjab, Pakistan",,"Sharif Acadmy","2"
"1","0","0","0","0","School","31.6846241","73.7373585","5","MPMP+RWX",,"MPMP+RWX, Jaatri Kuhna, Nankana Sahib, Punjab, Pakistan",,"Madrisa Jamia Sharifia Rizwia Jatri Kohna","1"
"2","2","0","0","0","Higher secondary school","30.92953","73.8255599","4.5","WRHG+R67",,"WRHG+R67, Hussain Khanwala, Kasur, Punjab, Pakistan",,"Government Girls Higher Secondary School","4"
,,,,,"School","31.7235952","73.7341994",,,,"Nankana Sahib, Punjab, Pakistan",,"Govt. Primary School For Boys","0"
"2","0","0","0","0","School","30.9518991","73.8017592","5","XR22+QP2",,"XR22+QP2, Kharepar (chak 10), Kasur, Punjab, Pakistan",,"Govt Primary Boys School Kharepar Shareef","2"
"1","0","0","1","0","School","30.9720113","73.8334448","4","XRCM+R94، main bazar, before jamia masjid",,"XRCM+R94، main bazar, before jamia masjid, Dholan Kasur, Kasur, Punjab, Pakistan",,"The Knowledge school Ismail campus Dholan","2"
,,,,,"Primary school","30.9417232","73.7748357",,"WQRF+MWP",,"WQRF+MWP, Dhana (Chak 12), Kasur, Punjab, Pakistan",,"Govt Girls Primary School","0"
"4","0","0","0","0","School","30.9656867","73.7862933","5","SEHJOWAL CHAK NO.11،",,"SEHJOWAL CHAK NO.11،, Kasur, Punjab 55361, Pakistan","55361","GOVERNMENT HIGH SCHOOL SEHJOWAL CHAK NO.11","4"
"0","1","0","0","0","School","30.9303339","73.8257498","4","kasur pattoki hussain khan wala",,"kasur pattoki hussain khan wala, Hussain Khanwala, 55300, Pakistan","55300","dar-ul-arqam school hussain khan wala chak8","1"
"1","0","0","0","0","School","30.9714155","73.8140532","5","XRC7+HJ7",,"XRC7+HJ7, Daokey, Kasur, Punjab, Pakistan",,"جامع مسجد گلزارِ مدینہ اہلسنت وجماعت","1"
"1","0","0","0","0","School","30.9698829","73.8129916","5","XR97+X55, Unnamed Road",,"XR97+X55, Unnamed Road, Daokey, Kasur, Punjab, Pakistan",,"Umer Ghani home","1"
"4","1","0","0","1","Boys' high school","30.9698055","73.8341687","4.3","XR9M+WMF, Dholan",,"XR9M+WMF, Dholan, Pattoki, Kasur, Punjab, Pakistan",,"Government High School Dholan Chak No 7","6"
,,,,,"School","31.7098782","73.6836978",,"Farooqabad, road",,"Farooqabad, road, Chowk Phularwan, Sheikhupura, Punjab, Pakistan",,"Momentous School","0"
,,,,,"School","31.710876","73.7631609",,"PQ67+973",,"PQ67+973, Malianda Dera, Sheikhupura, Punjab, Pakistan",,"Govt. Middle school dera malia","0"
"1","1","2","0","0","School","31.6985721","73.7447039","2.8","MPXV+CVG",,"MPXV+CVG, Safdarabad, Nankana Sahib, Punjab, Pakistan",,"Dera Berianwala","4"
,,,,,"School","31.706932","73.677456",,"PM5H+2F7",,"PM5H+2F7, Chowk Phularwan, Nankana Sahib, Punjab, Pakistan",,"New Nation School System","0"
"2","1","0","0","0","School center","31.6833344","73.6696323","4.7","MMM9+8VJ, Safdarabad",,"MMM9+8VJ, Safdarabad, Mitto Tibbi, Nankana Sahib, Punjab, Pakistan",,"Thothian khurd chak no 10 rb","3"
"1","0","0","0","0","School","31.6793878","73.7467707","5","MPHW+QP2",,"MPHW+QP2, jatri kohna, Sheikhupura, Punjab, Pakistan",,"Masjid Madina Dera Sharein Wala","1"
,,,,,"School","31.6870759","73.676492",,"MMPG+RHQ",,"MMPG+RHQ, Mitto Tibbi, Sheikhupura, Punjab, Pakistan",,"Government High School","0"
,,,,,"School","31.6801175","73.737072",,"MPJP+2RW, Manawala - Farooq Abad Rd",,"MPJP+2RW, Manawala - Farooq Abad Rd, Jaatri Kuhna, Nankana Sahib, Punjab, Pakistan",,"Govt Primary School Dhoop Sari Jaatri","0"
"1","0","0","0","0","Public educational institution","31.6782415","73.7739849","5","makki chak no 525 nazd bhata riaz briks tehsil and",,"makki chak no 525 nazd bhata riaz briks tehsil and, Sheikhupura, Pakistan",,"jamai awaisia taleem ul quran syed chan peer bukhari","1"
,,,,,"Religious school","31.6782875","73.7380437",,"MPHQ+867, Unnamed Road",,"MPHQ+867, Unnamed Road, Nankana Sahib, Punjab, Pakistan",,"Madina tul Arabia","0"
